timestamp,top_bid,top_ask,spread,bid_volume,ask_volume
09:38:00.018,71.78,71.79,0.01,10900,15700
09:38:00.625,71.78,71.8,0.02,11200,15600
09:38:02.006,71.79,71.8,0.01,11800,12900
09:38:02.010,71.79,71.81,0.02,11800,12800
09:38:02.011,71.8,71.81,0.01,12000,12800
09:38:02.049,71.8,71.82,0.02,12100,12600
09:38:02.115,71.81,71.82,0.01,12500,12700
09:38:02.131,71.8,71.82,0.02,11800,12700
09:38:02.134,71.8,71.81,0.01,11500,13300
09:38:02.169,71.79,71.81,0.02,11400,13000
09:38:03.721,71.78,71.81,0.03,11200,12000
09:38:03.721,71.79,71.81,0.02,11300,12300
09:38:03.726,71.78,71.81,0.03,11200,12600
09:38:03.728,71.78,71.8,0.02,11200,12500
09:38:03.805,71.78,71.81,0.03,11200,12300
09:38:03.983,71.79,71.81,0.02,11300,12100
09:38:04.312,71.78,71.81,0.03,11400,12300
09:38:06.054,71.78,71.8,0.02,11300,12400
09:38:07.456,71.79,71.8,0.01,11400,12600
09:38:10.114,71.79,71.81,0.02,11400,12100
09:38:10.119,71.79,71.82,0.03,12000,11900
09:38:10.120,71.8,71.82,0.02,12000,11900
09:38:10.201,71.81,71.82,0.01,12800,12000
09:38:10.201,71.8,71.82,0.02,12600,12000
09:38:10.201,71.81,71.82,0.01,12700,12000
09:38:10.214,71.8,71.82,0.02,12400,11900
